track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,danceability,energy,key,loudness,speechiness,liveness,valence,tempo,duration_ms,popularity_category,tempo_category,loudness_category,release_month
Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019-08-16,pop,0.437,0.774,8,-4.918,0.0554,0.133,0.329,123.125,203733,High Popularity,Fast,Loud,August
Body On My,Loud Luxury,67,Body On My,2019-03-29,pop,0.744,0.726,1,-4.675,0.0463,0.374,0.687,121.985,192507,High Popularity,Fast,Loud,March
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019-05-17,pop,0.572,0.915,5,-4.451,0.0625,0.339,0.678,123.919,164516,High Popularity,Fast,Loud,May
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,pop,0.69,0.78,5,-4.446,0.0594,0.0729,0.238,126.07,255238,High Popularity,Fast,Loud,July
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,pop,0.805,0.835,0,-4.603,0.0896,0.365,0.722,125.028,188230,High Popularity,Fast,Loud,December
All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019-05-03,pop,0.694,0.901,1,-4.322,0.0948,0.427,0.368,118.051,173548,Medium Popularity,Moderate,Loud,May
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,pop,0.678,0.747,10,-5.289,0.165,0.174,0.516,120.002,189375,High Popularity,Fast,Moderate,December
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,pop,0.746,0.557,1,-6.722,0.0542,0.138,0.324,111.961,159404,High Popularity,Moderate,Moderate,March
Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019-10-18,pop,0.467,0.821,7,-5.466,0.0934,0.131,0.232,122.676,185366,Low Popularity,Fast,Moderate,October
Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019-08-23,pop,0.572,0.934,6,-5.053,0.0446,0.105,0.204,125.948,215238,High Popularity,Fast,Moderate,August
All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019-08-23,pop,0.708,0.913,9,-4.329,0.0348,0.113,0.707,135.016,170667,High Popularity,Fast,Loud,August
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,pop,0.684,0.818,4,-4.477,0.128,0.119,0.336,123.938,210968,High Popularity,Fast,Loud,May
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,pop,0.732,0.85,1,-5.999,0.0444,0.0388,0.372,124.024,193548,High Popularity,Fast,Moderate,October
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,pop,0.62,0.889,11,-3.785,0.0352,0.395,0.422,110.018,205093,Medium Popularity,Moderate,Loud,May
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019-06-21,pop,0.675,0.76,11,-7.037,0.0434,0.33,0.468,124.933,172800,High Popularity,Fast,Moderate,June
One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019-08-09,pop,0.682,0.851,1,-7.117,0.0363,0.0289,0.348,126.0,192381,High Popularity,Fast,Moderate,August
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019-02-01,pop,0.663,0.905,1,-3.781,0.0511,0.333,0.397,125.996,175000,Very Low Popularity,Fast,Loud,February
So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),2019-05-23,pop,0.625,0.938,6,-3.983,0.0517,0.0923,0.371,127.997,166875,High Popularity,Fast,Loud,May
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),2019-04-19,pop,0.679,0.909,1,-2.929,0.105,0.269,0.819,119.885,155080,Low Popularity,Moderate,Loud,April
Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),2019-11-01,pop,0.641,0.869,11,-4.754,0.0423,0.403,0.358,128.091,178125,Medium Popularity,Fast,Loud,November
Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),2018-11-30,pop,0.702,0.814,0,-7.51,0.0841,0.374,0.503,121.993,172000,Medium Popularity,Fast,Moderate,November
Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),2018-11-23,pop,0.723,0.837,11,-6.487,0.0389,0.0834,0.643,123.952,177097,Medium Popularity,Fast,Moderate,November
Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019-09-05,pop,0.742,0.864,0,-5.06,0.0976,0.241,0.727,125.032,169935,Medium Popularity,Fast,Moderate,September
Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019-11-22,pop,0.716,0.815,10,-4.121,0.0533,0.163,0.351,124.975,220413,Medium Popularity,Fast,Loud,November
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019-06-21,pop,0.748,0.831,1,-5.029,0.115,0.0757,0.894,128.024,185273,Medium Popularity,Fast,Moderate,June
Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018-11-30,pop,0.816,0.833,5,-5.972,0.0511,0.0625,0.793,122.032,170164,Medium Popularity,Fast,Moderate,November
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018-07-25,pop,0.633,0.854,0,-4.046,0.0432,0.434,0.659,126.026,172360,High Popularity,Fast,Loud,July
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,pop,0.563,0.81,2,-2.921,0.0522,0.0846,0.495,129.975,247385,High Popularity,Fast,Loud,July
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,pop,0.728,0.815,11,-2.878,0.046,0.101,0.681,124.019,218015,Medium Popularity,Fast,Loud,June
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,pop,0.846,0.773,5,-3.503,0.0473,0.204,0.586,124.008,200444,Medium Popularity,Fast,Loud,October
Higher Love,Kygo,87,Higher Love,2019-06-28,pop,0.693,0.678,8,-7.159,0.0324,0.101,0.404,103.952,228267,Very High Popularity,Moderate,Moderate,June
Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,pop,0.678,0.928,3,-3.66,0.0597,0.143,0.663,116.892,150160,High Popularity,Moderate,Loud,October
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,pop,0.67,0.453,0,-11.265,0.295,0.117,0.68,135.055,194840,Very High Popularity,Fast,Quiet,July
Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019-11-01,pop,0.755,0.931,1,-4.104,0.0606,0.0854,0.288,122.041,177466,Medium Popularity,Fast,Loud,November
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,pop,0.622,0.859,5,-7.626,0.0636,0.0909,0.442,121.968,218373,High Popularity,Fast,Moderate,May
Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019-08-09,pop,0.64,0.838,6,-4.203,0.0416,0.0424,0.587,124.081,193861,Medium Popularity,Fast,Loud,August
American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019-06-14,pop,0.609,0.764,5,-4.564,0.111,0.197,0.531,128.082,200625,Medium Popularity,Fast,Loud,June
Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019-09-27,pop,0.64,0.992,4,-3.318,0.0585,0.109,0.479,123.951,166237,Medium Popularity,Fast,Loud,September
joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019-01-25,pop,0.75,0.81,0,-4.607,0.0572,0.111,0.48,120.038,171500,Medium Popularity,Fast,Loud,January
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,pop,0.535,0.956,1,-2.996,0.0343,0.262,0.12,127.984,266719,Low Popularity,Fast,Loud,November
Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019-04-29,pop,0.766,0.771,6,-9.108,0.0576,0.113,0.297,140.036,204027,High Popularity,Fast,Moderate,April
Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019-11-15,pop,0.649,0.821,10,-4.952,0.0472,0.0655,0.394,125.977,203968,Medium Popularity,Fast,Loud,November
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,pop,0.588,0.697,3,-4.744,0.0372,0.103,0.225,125.157,190417,High Popularity,Fast,Loud,October
What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019-11-01,pop,0.542,0.84,0,-5.283,0.0419,0.277,0.509,118.02,180361,Medium Popularity,Moderate,Moderate,November
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,pop,0.752,0.84,6,-4.451,0.0373,0.0916,0.461,124.002,279800,High Popularity,Fast,Loud,August
All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019-08-23,pop,0.748,0.903,3,-5.877,0.0385,0.106,0.751,115.018,217043,Medium Popularity,Moderate,Moderate,August
Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019-12-27,pop,0.607,0.955,7,-3.613,0.102,0.0725,0.501,125.984,230476,Medium Popularity,Fast,Loud,December
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,pop,0.607,0.995,9,-2.325,0.0487,0.0445,0.664,124.998,188640,Medium Popularity,Fast,Loud,July
With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019-09-12,pop,0.679,0.786,1,-6.918,0.132,0.224,0.47,126.092,196613,Medium Popularity,Fast,Moderate,September
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,pop,0.714,0.801,5,-5.8,0.0301,0.334,0.292,124.015,210000,Medium Popularity,Fast,Moderate,November
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,pop,0.69,0.862,2,-4.154,0.0944,0.238,0.453,121.975,187869,Medium Popularity,Fast,Loud,September
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,pop,0.775,0.867,4,-7.388,0.204,0.0355,0.565,128.956,273229,Medium Popularity,Fast,Moderate,March
Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,pop,0.814,0.838,11,-5.547,0.0763,0.0185,0.959,121.978,255861,Medium Popularity,Fast,Moderate,October
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,pop,0.784,0.779,8,-5.48,0.0387,0.0245,0.459,124.994,216714,Medium Popularity,Fast,Moderate,October
Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019-09-13,pop,0.367,0.783,6,-4.504,0.154,0.0545,0.289,88.013,192653,Medium Popularity,Slow,Loud,September
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,pop,0.609,0.83,6,-3.759,0.0793,0.0321,0.604,117.833,238451,High Popularity,Moderate,Loud,February
Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,pop,0.591,0.702,7,-5.59,0.0289,0.414,0.501,104.003,217653,Low Popularity,Moderate,Moderate,May
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,pop,0.59,0.642,7,-3.87,0.122,0.105,0.651,107.356,174444,Very High Popularity,Moderate,Loud,May
Here With Me,Marshmello,83,Here With Me,2019-03-08,pop,0.791,0.565,5,-3.933,0.0439,0.156,0.181,99.961,156347,Very High Popularity,Moderate,Loud,March
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,pop,0.564,0.747,5,-3.374,0.0584,0.151,0.717,97.878,165767,High Popularity,Moderate,Loud,July
Sixteen,Ellie Goulding,81,Sixteen,2019-04-12,pop,0.669,0.801,8,-5.445,0.136,0.0594,0.541,109.919,201072,Very High Popularity,Moderate,Moderate,April
Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,pop,0.77,0.882,8,-4.792,0.0602,0.316,0.385,99.991,223523,Very High Popularity,Moderate,Loud,May
All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019-03-27,pop,0.513,0.788,0,-4.629,0.0364,0.11,0.234,139.987,238459,High Popularity,Fast,Loud,March
I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019-05-03,pop,0.72,0.864,0,-3.249,0.208,0.16,0.659,96.048,191612,High Popularity,Moderate,Loud,May
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,pop,0.789,0.858,5,-4.388,0.0404,0.335,0.491,110.012,173455,High Popularity,Moderate,Loud,October
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,pop,0.294,0.505,3,-8.106,0.042,0.0977,0.357,85.332,209893,High Popularity,Slow,Moderate,July
All the Time,Zara Larsson,74,All the Time,2019-06-21,pop,0.665,0.799,6,-2.868,0.0617,0.125,0.5,101.976,228112,High Popularity,Moderate,Loud,June
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,pop,0.46,0.8,1,-3.584,0.05,0.121,0.553,102.46,220396,Very High Popularity,Moderate,Loud,March
With You,Kaskade,71,With You,2019-06-14,pop,0.362,0.921,1,-3.815,0.486,0.19,0.529,172.191,180840,High Popularity,Very Fast,Loud,June
Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019-10-18,pop,0.686,0.83,8,-4.437,0.0369,0.182,0.486,123.032,214634,High Popularity,Fast,Loud,October
Not Ok,Kygo,73,Not Ok,2019-05-23,pop,0.618,0.66,11,-8.14,0.0372,0.325,0.408,105.0,210944,High Popularity,Moderate,Moderate,May
Ruin My Life,Zara Larsson,79,Ruin My Life,2018-10-18,pop,0.665,0.699,11,-5.265,0.0578,0.0969,0.585,124.896,190932,High Popularity,Fast,Moderate,October
I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018-03-16,pop,0.661,0.725,6,-4.859,0.0563,0.123,0.605,119.927,197939,High Popularity,Moderate,Loud,March
Better With You,3LAU,63,Better With You,2019-03-01,pop,0.571,0.752,3,-4.872,0.0293,0.114,0.25,102.043,192941,High Popularity,Moderate,Loud,March
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,pop,0.591,0.705,9,-6.519,0.079,0.131,0.27,121.799,215316,High Popularity,Fast,Moderate,April
Polaroid,Jonas Blue,16,Blue,2018-11-09,pop,0.652,0.898,7,-4.481,0.0361,0.073,0.472,114.043,193377,Very Low Popularity,Moderate,Loud,November
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,pop,0.706,0.855,10,-5.377,0.215,0.347,0.293,107.184,201253,High Popularity,Moderate,Moderate,September
In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019-08-16,pop,0.404,0.806,2,-4.75,0.0496,0.114,0.112,148.036,220730,High Popularity,Fast,Loud,August
I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019-07-12,pop,0.876,0.856,4,-3.884,0.0486,0.457,0.685,121.991,185062,Medium Popularity,Fast,Loud,July
SOS,Avicii,30,SOS,2019-04-10,pop,0.802,0.645,5,-6.181,0.0715,0.119,0.376,100.001,157202,Low Popularity,Moderate,Moderate,April
Harder,Jax Jones,62,Snacks,2019-07-12,pop,0.906,0.832,5,-3.004,0.0718,0.152,0.751,104.03,159753,High Popularity,Moderate,Loud,July
The Middle,Zedd,84,The Middle,2018-01-23,pop,0.753,0.657,7,-3.061,0.0449,0.112,0.437,107.01,184732,Very High Popularity,Moderate,Loud,January
Wanted,NOTD,70,Wanted,2019-09-27,pop,0.693,0.674,5,-4.449,0.0723,0.0639,0.378,95.972,160998,High Popularity,Moderate,Loud,September
Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,pop,0.672,0.815,1,-6.476,0.0981,0.577,0.341,115.033,226093,Low Popularity,Moderate,Moderate,July
Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019-10-24,pop,0.581,0.76,0,-3.962,0.0406,0.183,0.523,104.099,205787,High Popularity,Moderate,Loud,October
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019-05-13,pop,0.643,0.594,2,-5.453,0.0318,0.118,0.442,144.033,216668,High Popularity,Fast,Moderate,May
Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019-01-18,pop,0.674,0.881,9,-2.853,0.147,0.0793,0.234,98.994,178480,Very High Popularity,Moderate,Loud,January
Nostalgic,A R I Z O N A,36,Nostalgic,2019-06-18,pop,0.691,0.538,0,-9.952,0.103,0.178,0.329,99.972,182668,Low Popularity,Moderate,Moderate,June
Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,pop,0.661,0.758,7,-5.299,0.0864,0.106,0.387,114.098,224061,Medium Popularity,Moderate,Moderate,September
Lovers + Strangers,Starley,58,Lovers + Strangers,2019-10-11,pop,0.653,0.69,1,-5.003,0.0756,0.136,0.652,110.214,178501,Medium Popularity,Moderate,Moderate,October
Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019-06-14,pop,0.734,0.693,0,-6.474,0.0361,0.341,0.55,110.021,154024,High Popularity,Moderate,Moderate,June
Sleepless Nights,ayokay,64,In the Shape of a Dream,2018-08-31,pop,0.663,0.696,11,-5.994,0.0349,0.226,0.449,139.98,197880,High Popularity,Fast,Moderate,August
Save Me Tonight,ARTY,63,Save Me Tonight,2019-01-25,pop,0.55,0.899,5,-3.284,0.0458,0.137,0.408,125.85,170079,High Popularity,Fast,Loud,January
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,pop,0.703,0.868,7,-4.661,0.0291,0.104,0.733,121.03,193613,High Popularity,Fast,Loud,March
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,pop,0.44,0.635,11,-6.385,0.0326,0.121,0.327,128.133,207095,High Popularity,Fast,Moderate,February
Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017-03-03,pop,0.625,0.707,2,-4.761,0.0337,0.213,0.479,138.064,248156,High Popularity,Fast,Loud,March
Endless Summer,Cashae,56,Endless Summer,2019-07-12,pop,0.625,0.719,4,-5.541,0.0612,0.0668,0.326,101.091,202072,Medium Popularity,Moderate,Moderate,July
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,pop,0.547,0.795,8,-3.721,0.0489,0.11,0.723,118.118,186805,High Popularity,Moderate,Loud,October
Think About You,Kygo,71,Think About You,2019-02-14,pop,0.673,0.596,10,-7.891,0.0354,0.11,0.19,123.969,208567,High Popularity,Fast,Moderate,February
Party For One,Carly Rae Jepsen,64,Dedicated,2019-05-17,pop,0.699,0.633,6,-6.547,0.0362,0.101,0.458,123.449,184533,High Popularity,Fast,Moderate,May
Ritual,Tiësto,82,Ritual,2019-05-31,pop,0.647,0.726,3,-4.389,0.0552,0.0844,0.767,114.996,198996,Very High Popularity,Moderate,Loud,May
Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018-09-06,pop,0.588,0.67,0,-6.439,0.0473,0.338,0.505,118.159,238173,Very High Popularity,Moderate,Moderate,September
Lie,Shallou,41,Lie,2018-01-25,pop,0.655,0.427,2,-11.684,0.0799,0.0788,0.224,107.992,215446,Medium Popularity,Moderate,Quiet,January
I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018-12-07,pop,0.79,0.865,6,-4.159,0.0438,0.24,0.362,122.99,189165,High Popularity,Fast,Loud,December
Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019-02-27,pop,0.611,0.737,0,-5.154,0.0476,0.107,0.574,124.169,200318,Very Low Popularity,Fast,Moderate,February
All Comes Back To You,R3HAB,72,All Comes Back To You,2019-10-25,pop,0.726,0.763,4,-6.872,0.0882,0.0943,0.516,128.02,160312,High Popularity,Fast,Moderate,October
Need U,DVBBS,24,Need U,2019-08-16,pop,0.714,0.705,10,-6.479,0.0995,0.126,0.471,114.994,219521,Low Popularity,Moderate,Moderate,August
First Love,Lost Kings,58,First Love,2017-10-13,pop,0.619,0.938,5,-5.245,0.35,0.128,0.601,94.38,207428,Medium Popularity,Moderate,Moderate,October
Something Real,Armin van Buuren,65,Something Real,2019-07-12,pop,0.575,0.808,1,-4.578,0.0439,0.0693,0.232,127.922,179531,High Popularity,Fast,Loud,July
TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,pop,0.768,0.808,5,-1.818,0.112,0.343,0.664,119.971,166000,High Popularity,Moderate,Loud,March
Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019-08-09,pop,0.767,0.605,6,-5.737,0.188,0.193,0.657,107.042,203200,Medium Popularity,Moderate,Moderate,August
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019-08-16,pop,0.466,0.612,8,-4.855,0.0307,0.132,0.236,128.114,239067,High Popularity,Fast,Loud,August
Sorry,Joel Corry,75,Sorry,2019-04-05,pop,0.744,0.79,8,-4.617,0.0562,0.32,0.847,125.002,188640,High Popularity,Fast,Loud,April
Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019-05-30,pop,0.837,0.818,8,-4.474,0.0533,0.11,0.484,109.993,157159,Medium Popularity,Moderate,Loud,May
The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,pop,0.514,0.856,2,-4.285,0.0717,0.544,0.351,117.014,228502,Very Low Popularity,Moderate,Loud,August
Stay,Zedd,79,Stay,2017-02-23,pop,0.69,0.622,5,-5.025,0.0622,0.116,0.544,102.04,210091,High Popularity,Moderate,Moderate,February
Million Voices,Armin van Buuren,60,Balance,2019-10-25,pop,0.466,0.869,3,-4.275,0.0529,0.115,0.185,126.113,187150,Medium Popularity,Fast,Loud,October
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,pop,0.842,0.801,8,-4.167,0.228,0.0642,0.617,95.881,212500,Very High Popularity,Moderate,Loud,September
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,pop,0.748,0.524,8,-5.599,0.0338,0.111,0.661,95.01,244960,Very High Popularity,Moderate,Moderate,July
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014-10-13,pop,0.647,0.624,9,-8.446,0.0451,0.0616,0.477,115.002,243091,Medium Popularity,Moderate,Moderate,October
Clarity,Zedd,74,Clarity,2012-01-01,pop,0.509,0.781,8,-3.48,0.072,0.0749,0.176,128.0,271427,High Popularity,Fast,Loud,January
Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018-05-17,pop,0.737,0.636,11,-4.546,0.0437,0.35,0.565,105.005,222653,High Popularity,Moderate,Loud,May
