track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_category,tempo_category,loudness_category,release_month
All Around The World (La La La) - Marnik Remix,R3HAB,64.0,All Around The World (La La La) [Marnik Remix],2019-08-23,pop,0.708,0.913,9.0,-4.329,0.0,0.0348,0.089,0.081,0.113,0.707,135.016,225829.00778894473,Medium Popularity,Fast,Loud,August
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,42.58588104502501,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,pop,0.684,0.818,4.0,-4.477,0.0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968.0,Medium-Low Popularity,Fast,Loud,May
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58.0,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,pop,0.6545498077701337,0.889,11.0,-3.785,1.0,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093.0,Medium Popularity,Moderate,Loud,May
One Thing Right - Firebeatz Remix,Marshmello,66.0,One Thing Right (Remixes),2019-08-09,pop,0.682,0.851,1.0,-7.117,0.0,0.0363,0.0146,0.000834,0.0289,0.348,121.04495242659672,192381.0,Medium Popularity,Fast,Moderate,August
So Am I - Toby Green Remix,Ava Max,62.0,So Am I (Toby Green Remix),2019-05-23,pop,0.625,0.938,5.387222222222222,-3.983,1.0,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875.0,Medium Popularity,Fast,Loud,May
When You Leave - Breathe Carolina Remix,Nikki Vianna,42.58588104502501,When You Leave (Breathe Carolina Remix),2019-04-19,pop,0.679,0.909,1.0,-2.929,1.0,0.105,0.0334,0.0,0.269,0.819,119.885,155080.0,Medium-Low Popularity,Moderate,Loud,April
Mother - Fedde Le Grand Remix,Charlie Puth,56.0,Mother (Fedde Le Grand Remix),2019-11-01,pop,0.641,0.6989134898547792,11.0,-4.754,1.0,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125.0,Medium Popularity,Fast,Loud,November
Ruin My Life - Steve James Remix,Zara Larsson,58.0,Ruin My Life (Remixes),2018-11-23,pop,0.723,0.837,11.0,-6.7204889102207845,1.0,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097.0,Medium Popularity,Fast,Moderate,November
Torn - KREAM Remix,Ava Max,60.0,Torn (KREAM Remix),2019-09-05,pop,0.742,0.864,0.0,-6.7204889102207845,1.0,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935.0,Medium Popularity,Fast,Moderate,September
Quite Miss Home - Steve Void Remix,James Arthur,60.0,Quite Miss Home (Steve Void Remix),2019-11-22,pop,0.716,0.815,10.0,-6.7204889102207845,1.0,0.0533,0.108,0.0,0.163,0.351,124.975,220413.0,Medium Popularity,Fast,Moderate,November
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55.0,Love Me Less (Remixes),2019-06-21,pop,0.748,0.831,1.0,-5.029,1.0,0.10698268610046399,0.0823,7.36e-05,0.0757,0.894,128.024,185273.0,Medium Popularity,Fast,Moderate,June
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67.0,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,pop,0.563,0.81,2.0,-2.921,1.0,0.0522,0.00522,0.0,0.19030977962953666,0.495,129.975,247385.0,Medium Popularity,Fast,Loud,July
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55.0,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,pop,0.728,0.815,11.0,-2.878,0.0,0.046,0.00223,0.000317,0.19030977962953666,0.681,124.019,218015.0,Medium Popularity,Fast,Loud,June
Higher Love,Kygo,87.0,Higher Love,2019-06-28,pop,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,121.04495242659672,228267.0,High Popularity,Fast,Moderate,June
Unlove You,Armin van Buuren,62.0,Unlove You,2019-10-18,pop,0.678,0.928,3.0,-6.7204889102207845,0.0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160.0,Medium Popularity,Moderate,Moderate,October
bad guy (with Justin Bieber),Billie Eilish,83.0,bad guy (with Justin Bieber),2019-07-11,pop,0.67,0.453,0.0,-11.265,0.5638447617132516,0.295,0.252,0.33,0.117,0.68,135.055,194840.0,High Popularity,Fast,Quiet,July
Freaking Me Out - Keanu Silva Remix,Ava Max,55.0,Freaking Me Out (Keanu Silva Remix),2019-11-01,pop,0.755,0.931,1.0,-4.104,0.0,0.0606,0.132,0.0271,0.0854,0.288,122.041,225829.00778894473,Medium Popularity,Fast,Loud,November
Heaven Can Wait - The Aston Shuffle Remix,Sia,61.0,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,pop,0.622,0.859,5.387222222222222,-7.626,1.0,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373.0,Medium Popularity,Fast,Moderate,May
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56.0,When It Comes To You (Remixes),2019-10-25,pop,0.789,0.6989134898547792,10.0,-4.364,0.0,0.168,0.0538,0.0,0.221,0.41,121.956,144073.0,Medium Popularity,Fast,Loud,October
Gone - The Wild Remix,Charli XCX,57.0,Gone (The Wild Remix),2019-08-09,pop,0.64,0.838,6.0,-4.203,1.0,0.0416,0.0588,1.99e-05,0.0424,0.5098375511751326,124.081,193861.0,Medium Popularity,Fast,Loud,August
Million Pieces - M-22 Remix,Bastille,53.0,Million Pieces (M-22 Remix),2019-09-27,pop,0.64,0.992,4.0,-3.318,0.0,0.0585,0.175427786901252,0.0083,0.109,0.479,123.951,166237.0,Medium Popularity,Fast,Loud,September
joy. (R3HAB Remix),for KING & COUNTRY,56.0,joy. (R3HAB Remix),2019-01-25,pop,0.75,0.81,5.387222222222222,-4.607,0.0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500.0,Medium Popularity,Fast,Loud,January
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34.0,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,pop,0.535,0.956,1.0,-2.996,0.0,0.0343,0.000609,0.08365661309457895,0.262,0.12,127.984,266719.0,Medium-Low Popularity,Fast,Loud,November
Lovers + Strangers - GATTÜSO Remix,Starley,46.0,Lovers + Strangers (GATTÜSO Remix),2019-11-15,pop,0.649,0.821,10.0,-4.952,0.0,0.0472,0.017,0.08365661309457895,0.0655,0.394,125.977,203968.0,Medium-Low Popularity,Fast,Loud,November
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,42.58588104502501,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,pop,0.355,0.789,5.0,-4.358,0.0,0.165,0.0148,0.0,0.0355,0.169,80.444,237686.0,Medium-Low Popularity,Slow,Loud,December
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63.0,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,pop,0.752,0.84,6.0,-4.451,0.5638447617132516,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800.0,Medium Popularity,Fast,Loud,August
All Star - Breathe Carolina Remix,Smash Mouth,60.0,All Star (Breathe Carolina Remix),2019-08-23,pop,0.748,0.903,3.0,-5.877,0.0,0.10698268610046399,0.0324,0.0,0.106,0.751,115.018,217043.0,Medium Popularity,Moderate,Moderate,August
Trampoline - Dave Audé Remix,SHAED,45.0,Melt (Deluxe),2019-12-27,pop,0.607,0.955,7.0,-3.613,0.0,0.10698268610046399,0.0163,0.121,0.0725,0.501,125.984,230476.0,Medium-Low Popularity,Fast,Loud,December
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58.0,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,pop,0.607,0.995,9.0,-2.325,0.0,0.10698268610046399,0.0921,0.002,0.0445,0.664,124.998,188640.0,Medium Popularity,Fast,Loud,July
With You - Dexter Remix,Kaskade,42.58588104502501,With You - The Remixes,2019-09-12,pop,0.679,0.786,1.0,-6.918,0.0,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613.0,Medium-Low Popularity,Fast,Moderate,September
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58.0,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,pop,0.714,0.801,5.0,-5.8,0.0,0.0301,0.0204,0.08365661309457895,0.334,0.292,124.015,210000.0,Medium Popularity,Fast,Moderate,November
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56.0,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,pop,0.69,0.862,2.0,-4.154,1.0,0.0944,0.175427786901252,1.85e-05,0.238,0.453,121.975,187869.0,Medium Popularity,Fast,Loud,September
Talk - Disclosure VIP,Khalid,60.0,Talk (Disclosure VIP),2019-03-27,pop,0.775,0.6989134898547792,4.0,-7.388,0.0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229.0,Medium Popularity,Fast,Moderate,March
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56.0,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,pop,0.784,0.779,8.0,-6.7204889102207845,1.0,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714.0,Medium Popularity,Fast,Moderate,October
Treehouse - R3HAB Remix,James Arthur,56.0,Treehouse (R3HAB Remix),2019-09-13,pop,0.367,0.783,6.0,-4.504,1.0,0.10698268610046399,0.00515,0.0,0.0545,0.289,88.013,192653.0,Medium Popularity,Slow,Loud,September
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65.0,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,pop,0.609,0.83,6.0,-3.759,0.5638447617132516,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451.0,Medium Popularity,Moderate,Loud,February
Call You Mine,The Chainsmokers,39.0,World War Joy,2019-05-31,pop,0.591,0.702,5.387222222222222,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.003,217653.0,Medium-Low Popularity,Moderate,Moderate,May
Here With Me,Marshmello,83.0,Here With Me,2019-03-08,pop,0.6545498077701337,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347.0,High Popularity,Slow,Loud,March
Easier - Seeb Remix,5 Seconds of Summer,71.0,Easier (Seeb Remix),2019-07-12,pop,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.717,97.878,225829.00778894473,High Popularity,Slow,Loud,July
Sixteen,Ellie Goulding,81.0,Sixteen,2019-04-12,pop,0.669,0.801,8.0,-5.445,1.0,0.136,0.175427786901252,0.0,0.0594,0.541,109.919,201072.0,High Popularity,Moderate,Moderate,April
Never Really Over,Katy Perry,85.0,Never Really Over,2019-05-31,pop,0.77,0.882,8.0,-4.792,1.0,0.0602,0.194,0.08365661309457895,0.316,0.385,99.991,223523.0,High Popularity,Slow,Loud,May
I Miss Myself (with HRVY),NOTD,71.0,I Miss Myself (with HRVY),2019-05-03,pop,0.72,0.864,0.0,-3.249,1.0,0.208,0.0856,0.0,0.16,0.659,96.048,225829.00778894473,High Popularity,Slow,Loud,May
Takeaway (feat. Lennon Stella),The Chainsmokers,67.0,World War Joy...Takeaway,2019-07-24,pop,0.294,0.505,3.0,-8.106,1.0,0.042,0.12,0.0,0.19030977962953666,0.357,85.332,209893.0,Medium Popularity,Slow,Moderate,July
What I Like About You (feat. Theresa Rex),Jonas Blue,42.58588104502501,What I Like About You (feat. Theresa Rex),2019-03-22,pop,0.46,0.8,1.0,-3.584,1.0,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396.0,Medium-Low Popularity,Moderate,Loud,March
Body Back (feat. Maia Wright),Gryffin,42.58588104502501,Body Back (feat. Maia Wright),2019-10-18,pop,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0,Medium-Low Popularity,Fast,Loud,October
I Wanna Know (feat. Bea Miller),NOTD,74.0,I Wanna Know (feat. Bea Miller),2018-03-16,pop,0.661,0.725,6.0,-4.859,1.0,0.0563,0.0253,0.0,0.123,0.5098375511751326,119.927,197939.0,High Popularity,Moderate,Loud,March
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,42.58588104502501,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,pop,0.591,0.705,9.0,-6.519,0.0,0.079,0.381,0.000116,0.131,0.27,121.799,215316.0,Medium-Low Popularity,Fast,Moderate,April
Polaroid,Jonas Blue,16.0,Blue,2018-11-09,pop,0.652,0.898,7.0,-4.481,0.0,0.10698268610046399,0.29,0.0,0.073,0.472,114.043,193377.0,Low Popularity,Moderate,Loud,November
In Your Arms (with X Ambassadors),ILLENIUM,75.0,ASCEND,2019-08-16,pop,0.404,0.806,2.0,-4.75,0.5638447617132516,0.0496,0.198,0.0,0.114,0.112,148.036,220730.0,High Popularity,Very Fast,Loud,August
I'm Not Alright,Loud Luxury,55.0,I'm Not Alright,2019-07-12,pop,0.876,0.856,4.0,-3.884,1.0,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,225829.00778894473,Medium Popularity,Fast,Loud,July
Wanted,NOTD,70.0,Wanted,2019-09-27,pop,0.693,0.674,5.0,-4.449,1.0,0.0723,0.185,0.08365661309457895,0.0639,0.378,95.972,160998.0,Medium Popularity,Slow,Loud,September
Need Your Love (with Noah Kahan),Gryffin,70.0,Gravity,2019-10-24,pop,0.581,0.76,0.0,-3.962,1.0,0.10698268610046399,0.16,0.0,0.183,0.523,104.099,205787.0,Medium Popularity,Moderate,Loud,October
Don't Call Me Up,Mabel,42.58588104502501,Ivy To Roses (Mixtape),2019-01-18,pop,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480.0,Medium-Low Popularity,Slow,Loud,January
Nostalgic,A R I Z O N A,36.0,Nostalgic,2019-06-18,pop,0.691,0.538,0.0,-9.952,1.0,0.103,0.246,0.163,0.178,0.329,99.972,225829.00778894473,Medium-Low Popularity,Slow,Moderate,June
Let It Be Me,Steve Aoki,52.0,Let It Be Me,2019-09-06,pop,0.661,0.758,5.387222222222222,-5.299,1.0,0.0864,0.0797,0.0,0.106,0.387,114.098,224061.0,Medium Popularity,Moderate,Moderate,September
Sleepless Nights,ayokay,64.0,In the Shape of a Dream,2018-08-31,pop,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449,121.04495242659672,197880.0,Medium Popularity,Fast,Moderate,August
Save Me Tonight,ARTY,63.0,Save Me Tonight,2019-01-25,pop,0.55,0.899,5.0,-3.284,0.0,0.10698268610046399,0.0113,9.65e-05,0.137,0.408,125.85,170079.0,Medium Popularity,Fast,Loud,January
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77.0,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,pop,0.6545498077701337,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733,121.03,193613.0,High Popularity,Fast,Loud,March
No Sleep (feat. Bonn),Martin Garrix,76.0,No Sleep (feat. Bonn),2019-02-21,pop,0.44,0.635,11.0,-6.385,1.0,0.0326,0.175427786901252,0.0,0.121,0.327,128.133,207095.0,High Popularity,Fast,Moderate,February
Endless Summer,Cashae,56.0,Endless Summer,2019-07-12,pop,0.625,0.719,4.0,-6.7204889102207845,1.0,0.0612,0.048,0.0,0.0668,0.326,101.091,202072.0,Medium Popularity,Moderate,Moderate,July
Think About You,Kygo,71.0,Think About You,2019-02-14,pop,0.673,0.596,10.0,-7.891,1.0,0.0354,0.166,0.0,0.11,0.19,121.04495242659672,208567.0,High Popularity,Fast,Moderate,February
Party For One,Carly Rae Jepsen,64.0,Dedicated,2019-05-17,pop,0.699,0.633,6.0,-6.547,1.0,0.0362,0.0453,0.0,0.101,0.458,123.449,225829.00778894473,Medium Popularity,Fast,Moderate,May
Electricity (with Dua Lipa),Silk City,81.0,Electricity (with Dua Lipa),2018-09-06,pop,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,225829.00778894473,High Popularity,Moderate,Moderate,September
Lie,Shallou,41.0,Lie,2018-01-25,pop,0.655,0.427,2.0,-6.7204889102207845,0.0,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446.0,Medium-Low Popularity,Moderate,Moderate,January
I Found You (with Calvin Harris),benny blanco,62.0,FRIENDS KEEP SECRETS,2018-12-07,pop,0.79,0.865,6.0,-4.159,1.0,0.10698268610046399,0.0264,0.0892,0.24,0.362,122.99,189165.0,Medium Popularity,Fast,Loud,December
All Comes Back To You,R3HAB,42.58588104502501,All Comes Back To You,2019-10-25,pop,0.726,0.763,4.0,-6.872,1.0,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312.0,Medium-Low Popularity,Fast,Moderate,October
First Love,Lost Kings,58.0,First Love,2017-10-13,pop,0.619,0.6989134898547792,5.0,-5.245,1.0,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428.0,Medium Popularity,Slow,Moderate,October
Something Real,Armin van Buuren,65.0,Something Real,2019-07-12,pop,0.575,0.808,1.0,-4.578,1.0,0.0439,0.0446,0.0,0.0693,0.232,127.922,225829.00778894473,Medium Popularity,Fast,Loud,July
TIME,Alesso,64.0,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,pop,0.768,0.808,5.0,-1.818,1.0,0.112,0.00627,5.33e-06,0.19030977962953666,0.664,119.971,166000.0,Medium Popularity,Moderate,Loud,March
Something About You (with Rudimental),Elderbrook,53.0,Distinction EP,2019-08-09,pop,0.6545498077701337,0.605,6.0,-5.737,0.0,0.188,0.559,0.000363,0.193,0.657,107.042,203200.0,Medium Popularity,Moderate,Moderate,August
Home (feat. Bonn),Martin Garrix,72.0,Home (feat. Bonn),2019-08-16,pop,0.6545498077701337,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067.0,High Popularity,Fast,Loud,August
Sorry,Joel Corry,75.0,Sorry,2019-04-05,pop,0.744,0.79,8.0,-4.617,0.0,0.0562,0.0547,0.000802,0.32,0.847,125.002,225829.00778894473,High Popularity,Fast,Loud,April
Spicy (with Diplo & Charli XCX),Herve Pagez,60.0,Spicy (with Diplo & Charli XCX),2019-05-30,pop,0.837,0.818,8.0,-4.474,0.0,0.0533,0.175427786901252,0.00642,0.11,0.484,109.993,157159.0,Medium Popularity,Moderate,Loud,May
Stay,Zedd,79.0,Stay,2017-02-23,pop,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.5098375511751326,102.04,210091.0,High Popularity,Moderate,Moderate,February
Million Voices,Armin van Buuren,60.0,Balance,2019-10-25,pop,0.466,0.869,3.0,-4.275,0.5638447617132516,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150.0,Medium Popularity,Fast,Loud,October
Closer (feat. Halsey),The Chainsmokers,85.0,Closer (feat. Halsey),2016-07-29,pop,0.748,0.524,8.0,-5.599,0.5638447617132516,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,High Popularity,Slow,Moderate,July
Clarity,Zedd,74.0,Clarity,2012-01-01,pop,0.509,0.781,8.0,-3.48,1.0,0.072,0.0398,0.08365661309457895,0.0749,0.176,128.0,271427.0,High Popularity,Fast,Loud,January
Solo (feat. Demi Lovato),Clean Bandit,80.0,Solo (feat. Demi Lovato),2018-05-17,pop,0.737,0.6989134898547792,11.0,-4.546,0.0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653.0,High Popularity,Moderate,Loud,May
Turn Me On (feat. Vula),Riton,86.0,Turn Me On (feat. Vula),2019-09-13,pop,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052,225829.00778894473,High Popularity,Fast,Loud,September
Light,San Holo,68.0,Light,2017-02-10,pop,0.57,0.763,1.0,-4.137,1.0,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,225829.00778894473,Medium Popularity,Very Fast,Loud,February
2U,David Guetta,66.0,2U,2017-06-09,pop,0.551,0.651,8.0,-5.828,0.0,0.0594,0.225,0.0,0.224,0.562,121.04495242659672,194907.0,Medium Popularity,Fast,Moderate,June
Something Just Like This,The Chainsmokers,83.0,Memories...Do Not Open,2017-04-07,pop,0.617,0.635,11.0,-6.7204889102207845,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,High Popularity,Moderate,Moderate,April
One Kiss (with Dua Lipa),Calvin Harris,85.0,One Kiss (with Dua Lipa),2018-04-06,pop,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.5098375511751326,123.994,214847.0,High Popularity,Fast,Loud,April
Heroes (we could be),Alesso,73.0,Forever,2015-05-26,pop,0.503,0.6989134898547792,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.343,0.356,125.896,210013.0,High Popularity,Fast,Loud,May
It Ain’t Me (with Selena Gomez),Kygo,69.0,It Ain't Me,2017-02-17,pop,0.64,0.533,0.0,-6.7204889102207845,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0,Medium Popularity,Slow,Moderate,February
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69.0,R.E.D. (Deluxe Edition),2012-01-01,pop,0.658,0.677,5.0,-6.628,1.0,0.0393,0.248,0.0,0.368,0.248,121.04495242659672,251627.0,Medium Popularity,Fast,Moderate,January
Roses,The Chainsmokers,73.0,Roses,2015-06-16,pop,0.713,0.6989134898547792,4.0,-7.055,1.0,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739.0,High Popularity,Moderate,Moderate,June
Latch,Disclosure,19.0,Settle,2013-01-01,pop,0.503,0.727,1.0,-5.456,1.0,0.167,0.0159,0.08365661309457895,0.0895,0.521,121.985,255632.0,Low Popularity,Fast,Moderate,January
Sorry,Justin Bieber,81.0,Purpose (Deluxe),2015-11-13,pop,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.08365661309457895,0.299,0.41,99.945,200787.0,High Popularity,Slow,Loud,November
This Is What You Came For,Calvin Harris,79.0,This Is What You Came For,2016-04-29,pop,0.63,0.928,9.0,-2.787,0.0,0.0331,0.199,0.124,0.148,0.465,123.963,225829.00778894473,High Popularity,Fast,Loud,April
Wake Me Up,Avicii,84.0,True,2013-01-01,pop,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.5098375511751326,124.08,247427.0,High Popularity,Fast,Moderate,January
Where Are Ü Now,Skrillex,8.0,Purpose (Deluxe),2015-11-13,pop,0.432,0.74,5.387222222222222,-5.053,1.0,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520.0,Very Low Popularity,Fast,Moderate,November
Firework,Katy Perry,64.0,Teenage Dream,2010-01-01,pop,0.638,0.832,8.0,-5.039,1.0,0.049,0.141,0.08365661309457895,0.113,0.648,124.071,227893.0,Medium Popularity,Fast,Moderate,January
Mi Gente (feat. Beyoncé),J Balvin,61.0,Mi Gente (feat. Beyoncé),2017-09-28,pop,0.759,0.716,11.0,-6.36,0.0,0.0818,0.0223,0.0,0.19030977962953666,0.469,105.009,209733.0,Medium Popularity,Moderate,Moderate,September
Don't You Worry Child - Radio Edit,Swedish House Mafia,27.0,Until Now,2012-01-01,pop,0.614,0.832,11.0,-3.419,0.0,0.0522,0.11,0.0,0.19030977962953666,0.429,129.038,213169.0,Low Popularity,Fast,Loud,January
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74.0,TROLLS (Original Motion Picture Soundtrack),2016-09-23,pop,0.669,0.832,5.387222222222222,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547.0,High Popularity,Moderate,Moderate,September
Anything Could Happen,Ellie Goulding,57.0,Halcyon,2012-01-01,pop,0.6545498077701337,0.781,0.0,-4.081,1.0,0.03,0.433,0.0,0.135,0.382,102.997,286322.0,Medium Popularity,Moderate,Loud,January
How Deep Is Your Love,Calvin Harris,77.0,How Deep Is Your Love,2015-07-17,pop,0.738,0.868,11.0,-4.373,0.0,0.0731,0.0389,0.08365661309457895,0.388,0.336,122.003,212640.0,High Popularity,Fast,Loud,July
Wish You Well (with Sigala),Sigala,5.0,Get To Know,2019-09-27,pop,0.67,0.89,5.0,-3.785,0.0,0.0576,0.122,0.08365661309457895,0.333,0.568,124.967,206440.0,Very Low Popularity,Fast,Loud,September
